Slice	Channel	C01	C01x	C02	C02x	C03	C03x	C04	C04x	C05	C05x	C06	C06x	C07	C07x	C08	C08x	C09	C09x	C10	C10x	C11	C11x	C12	C12x
73	1	16.822	172.916	102.287	179.068	36.254	183.16	293.525	197.947	149.001	175.967	131.077	180.841	203.73	177.403	3.466	178.389	130.01	177.364	71.212	175.64	172.673	178.985	26.394	169.245
73	2	0.122	319.936	38.659	332.207	41.576	335.318	120.128	338.589	59.627	320.581	39.932	321.912	68.74	307.313	-4.708	319.895	36.712	323.975	37.354	319.363	65.826	322.441	29.939	300.756
73	3	-8.892	1250.117	-23.171	1413.201	-35.071	1358.336	-31.267	1263.339	19.668	1095.89	-46.825	1257.886	-45.391	1239.099	-118.037	1188.107	-9.464	1422.699	27.79	1349.488	-1.743	1337.32	0.918	1272.099
76	1	18.166	174.454	107.056	179.161	39.767	184.074	310.466	182.578	165.129	178.101	130.497	181.302	188.705	171.848			147.699	177.914	73.336	175.853	165.982	177.949	23.619	169.699
76	2	1.274	323.647	40.058	335.523	42.165	336.923	135.226	330.988	67.112	323.719	37.375	324.931	65.616	306.919			44.862	326.931	48.568	318.379	68.768	323.453	29.948	300.001
76	3	-35.75	1287.802	-15.781	1406.943	-28.136	1356.023	-40.2	1280.717	11.486	1100.732	-17.236	1243.291	-4.279	1227.964			10.416	1404.413	34.816	1319.093	1.914	1329.069	3.72	1255.994
79	1	20.205	174.688	117.079	180.408	43.374	184.796	331.754	183.514	202.332	174.694	150.654	181.158	201.121	182.648			189.141	178.459	74.386	176.907	158.83	181.739	22.945	168.643
79	2	1.197	325.442	40.615	335.969	42.712	338.602	135.145	333.195	84.427	315.884	39.015	324.783	63.399	309.407			52.971	329.258	44.026	321.582	59.267	327.907	29.13	297.376
79	3	-33.105	1297.456	-28.591	1416.764	-24.586	1353.064	-42.333	1281.712	12.32	1116.882	-40.499	1251.114	-2.926	1224.661			18.152	1391.206	21.621	1306.951	-11.29	1333.381	18.835	1228.363
82	1	18.85	176.911	112.326	180.692	43.442	186.995	279.292	186.848	234.817	174.438	131.202	182.658	212.114	173.791			194.329	182.074	68.109	177.365	148.458	179.55	24.446	169.308
82	2	-1.737	327.818	38.658	337.441	34.34	349.209	117.272	335.563	104.861	314.463	33.388	327.727	73.26	304.87			60.785	330.046	40.808	322.766	57.272	327.476	32.498	297.814
82	3	-47.002	1299.401	-22.667	1402.975	-15.147	1348.192	-36.132	1283.002	-8.623	1130.826	-63.238	1250.053	-6.696	1218.652			43.648	1355.092	19.472	1306.463	-13.031	1322.436	17.312	1216.819
85	1	20.708	175.621	119.385	182.501	45.477	184.64	237.215	183.807	250.072	174.315	119.372	184.041	203.981	174.658			170.335	179.21	59.527	177.694	146.785	182.841	27.968	169.072
85	2	3.304	325.254	45.484	337.083	44.6	344.064	105.941	336.316	120.139	315.69	32.5	331.137	76.499	311.623			58.581	334.081	29.016	329.721	64.268	334.041	32.922	303.839
85	3	-50.385	1326.627	4.935	1388.158	-25.031	1372.994	-4.018	1276.191	-15.758	1160.141	-82.657	1260.093	31.685	1184.984			14.835	1370.31	32.787	1298.537	-27.354	1331.129	17.496	1216.782
88	1	19.318	177.894	133.905	182.589	46.537	186.576	201.745	184.515	254.975	176.193	119.674	184.181	183.969	172.397			193.465	184.876	53.291	177.716	148.015	183.618	30.968	171.729
88	2	1.086	328.463	56.771	336.665	43.649	345.205	94.286	333.631	125.935	317.696	33.737	328.537	73.688	304.859			74.034	330.401	28.086	321.758	68.465	329.052	34.15	302.633
88	3	-3.652	1304.959	-3.491	1396.901	-23.371	1360.417	-14.516	1274.839	-5.029	1144.182	-98.273	1252.49	-4.262	1192.839			-7.703	1346.144	33.856	1280.621	-6.009	1301.763	-9.577	1229.493
91	1	18.949	177.115	158.792	182.679	50.504	185.524	190.815	188.34	258.453	175.755	117.483	184.228	157.403	174.13			162.407	180.51	50.09	177.969	147.76	183.615	34.65	170.44
91	2	3.302	326.085	64.88	340.791	42.372	342.274	88.405	336.621	131.269	317.515	32.826	330.463	57.88	306.456			60.209	330.827	36.349	322.255	70.941	328.566	35.5	298.6
91	3	-60.7	1323.714	-6.023	1398.247	-21.175	1353.891	-14.394	1265.067	-13.397	1154.817	-112.047	1248.804	-15.011	1190.431			-3.298	1334.218	9.744	1274.176	-16.62	1308.402	29.164	1186.362
94	1	20.711	177.953	206.812	183.217	52.642	186.112	207.37	182.635	256.118	177.657	130.428	183.947	167.788	169.345			178.706	180.68	55.296	178.498	159.087	185.712	39.585	170.832
94	2	2.492	325.943	88.849	341.325	43.198	344.444	98.588	334.273	129.755	320.675	41.235	327.888	70.65	297.06			62.297	331.008	32.976	322.898	72.433	331.647	38.141	298.851
94	3	-65.481	1342.109	-4.938	1384.134	-10.936	1350.483	22.276	1253.082	-1.453	1155.863	-126.891	1267.226	-7.369	1175.691			-34.16	1336.886	26.968	1270.725	-16.667	1291.378	24.949	1173.902
97	1	18.829	180.654	271.313	183.973	58.61	189.002	211.701	184.837	245.614	179.656	141.713	186.176	183.856	171.971			168.809	180.737	57.983	179.074	178.46	188.079	43.172	174.408
97	2	-2.262	332.819	119.435	343.861	53.262	345.615	95.567	338.052	123.665	321.489	41.681	332.911	74.698	302.267			57.255	333.111	45.134	324.524	80.154	334.659	35.697	305.42
97	3	-16.832	1311.152	-9.053	1387.46	-8.079	1345.814	12.366	1250.144	-3.432	1156.055	-104.56	1257.384	-26.354	1192.566			-29.945	1330.265	27.396	1269.85	-17.458	1283.443	3.737	1193.676
100	1	22.976	179.721	313.17	193.071	66.55	190.796	225.704	184.67	221.928	180.777	159.556	187.897	123.452	172.264			143.373	181.86	55.598	179.6	204.721	185.35	41.042	175.134
100	2	1.214	329.165	147.676	342.711	58.338	347.948	97.797	337.182	109.315	321.386	48.75	331.076	50.276	302.213			46.413	332.318	40.783	326.005	87.931	335.519	37.356	307.963
100	3	-49.565	1353.613	-20.36	1391.9	-1.059	1337.058	28.552	1238.996	6.439	1150.809	-102.136	1235.78	-15.121	1171.612			-16.439	1324.914	26.815	1255.195	-14.643	1275.095	-4.268	1195.65
103	1	23.528	185.055	356.323	201.269	77.48	191.822	251.414	186.445	204.19	180.471	155.948	189.237					114.919	184.002	57.452	181.194	229.902	185.639	42.889	173.645
103	2	3.54	334.639	168.572	347.27	56.93	352.032	106.626	338.148	99.766	321.252	47.902	334.906					38.666	333.043	38.133	329.576	99.024	334.222	43.148	304.829
103	3	21.791	1302.771	-20.059	1390.534	0.934	1322.916	15.444	1224.634	5.497	1134.86	-91.706	1213.757					-11.795	1274.865	32.002	1249.99	-6.805	1261.854	12.476	1169.347
106	1	23.963	187.098	412.14	189.407	91.828	189.546	308.891	184.724	259.217	178.689	146.745	189.536					89.337	185.18	60.605	181.425	292.645	186.108	37.035	178.925
106	2	6.202	333.36	191.529	347.45	72.043	349.278	137.491	335.902	120.086	318.766	45.465	335.007					27.68	335.281	43.826	329.302	120.887	336.013	36.259	312.954
